GenBankAssemblyID	NCBI Taxonomy ID	NCBI Assembly Name	NCBI Species Name	NCBI Species Lineage	Potential Hosts	PACIFIC Group
GCA_001291385.1	1645868	A_England_10740581_2010	Influenza A virus (A/England/10740581/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001291405.1	1645848	A_England_WTSI1774_2010	Influenza A virus (A/England/WTSI1774/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001291425.1	1645840	A_England_374_2010	Influenza A virus (A/England/374/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_001343785.1	641809	ViralMultiSegProj274766	Influenza A virus (A/California/07/2009(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004335.1	1645881	A_England_718_2010	Influenza A virus (A/England/718/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004345.1	1645887	A_England_672_2010	Influenza A virus (A/England/672/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004365.1	1645860	A_England_12240614_2011	Influenza A virus (A/England/12240614/2011(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004375.1	1645852	A_England_01220741_2010	Influenza A virus (A/England/01220741/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004385.1	1645875	A_England_01220639_2009	Influenza A virus (A/England/01220639/2009(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004425.1	1645843	A_England_05140281_2010	Influenza A virus (A/England/05140281/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004435.1	1645833	A_England_05080637_2010	Influenza A virus (A/England/05080637/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004445.1	1645890	A_England_05100660_2010	Influenza A virus (A/England/05100660/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004455.1	1645882	A_England_05140856_2010	Influenza A virus (A/England/05140856/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004465.1	1645855	A_England_WTSI1783_2009	Influenza A virus (A/England/WTSI1783/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004475.1	1645870	A_England_04980055_2010	Influenza A virus (A/England/04980055/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004485.1	1645891	A_England_04980045_2010	Influenza A virus (A/England/04980045/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004495.1	1645889	A_England_10740690_2011	Influenza A virus (A/England/10740690/2011(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004505.1	1645850	A_England_414_2010	Influenza A virus (A/England/414/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004515.1	1645886	A_England_05100301_2010	Influenza A virus (A/England/05100301/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004525.1	1645838	A_England_213_2011	Influenza A virus (A/England/213/2011(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004535.1	1645880	A_England_05140847_2010	Influenza A virus (A/England/05140847/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004555.1	1645884	A_England_689_2010	Influenza A virus (A/England/689/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004575.1	1645858	A_England_10740623_2011	Influenza A virus (A/England/10740623/2011(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004585.1	1645873	A_England_05140177_2010	Influenza A virus (A/England/05140177/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004595.1	1645872	A_England_01220740_2010	Influenza A virus (A/England/01220740/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004605.1	1230200	A_England_05000088_2010	Influenza A virus (A/England/05000088/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004675.1	1645847	A_England_01580005_2010	Influenza A virus (A/England/01580005/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004725.1	1645861	A_England_10740658_2011	Influenza A virus (A/England/10740658/2011(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004745.1	1645859	A_England_05080831_2010	Influenza A virus (A/England/05080831/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004765.1	1645893	A_England_01180011_2010	Influenza A virus (A/England/01180011/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004775.1	1645834	A_England_01580003_2010	Influenza A virus (A/England/01580003/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004805.1	1645836	A_England_WTSI2067_2010	Influenza A virus (A/England/WTSI2067/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004815.1	1645862	A_England_04860560_2010	Influenza A virus (A/England/04860560/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004835.1	1645856	A_England_665_2010	Influenza A virus (A/England/665/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004875.1	1645857	A_England_01180015_2010	Influenza A virus (A/England/01180015/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004935.1	1645894	A_England_04980653_2010	Influenza A virus (A/England/04980653/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900004945.1	1645867	A_England_10740693_2011	Influenza A virus (A/England/10740693/2011(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900005085.1	1645849	A_England_690_2010	Influenza A virus (A/England/690/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900005115.1	1645842	A_England_WTSI1751_2010	Influenza A virus (A/England/WTSI1751/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900005905.1	1645839	A_England_05140176_2010	Influenza A virus (A/England/05140176/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900005915.1	1645835	A_England_05140283_2010	Influenza A virus (A/England/05140283/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900006035.1	1645837	A_England_283_2010	Influenza A virus (A/England/283/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900006335.1	1645878	A_England_686_2010	Influenza A virus (A/England/686/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900007775.1	1645879	A_England_10740691_2011	Influenza A virus (A/England/10740691/2011(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900007785.1	1645863	A_England_01180017_2010	Influenza A virus (A/England/01180017/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900009845.1	1645892	A_England_WTSI2076_2010	Influenza A virus (A/England/WTSI2076/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900016665.1	1645837	A_England_283_2010	Influenza A virus (A/England/283/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900019215.1	1645874	A_England_05120013_2010	Influenza A virus (A/England/05120013/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_900019225.1	1645876	A_England_05140216_2010	Influenza A virus (A/England/05140216/2010(H1N1)) (viruses)	Viruses; Riboviria; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	"human,vertebrates"	Influenza
GCA_000865625.1	162145	ViralProj15498	Human metapneumovirus (viruses)	Viruses; Riboviria; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Pneumoviridae; Metapneumovirus	"human,vertebrates"	Metapneumovirus
GCA_002815375.1	162145	ASM281537v1	Human metapneumovirus (viruses)	Viruses; Riboviria; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Pneumoviridae; Metapneumovirus	"human,vertebrates"	Metapneumovirus
GCA_002815395.1	162145	ASM281539v1	Human metapneumovirus (viruses)	Viruses; Riboviria; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Pneumoviridae; Metapneumovirus	"human,vertebrates"	Metapneumovirus
GCA_002815415.1	162145	ASM281541v1	Human metapneumovirus (viruses)	Viruses; Riboviria; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Pneumoviridae; Metapneumovirus	"human,vertebrates"	Metapneumovirus
GCA_002815435.1	162145	ASM281543v1	Human metapneumovirus (viruses)	Viruses; Riboviria; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Pneumoviridae; Metapneumovirus	"human,vertebrates"	Metapneumovirus
GCA_000861265.1	12131	ViralProj15309	Rhinovirus B14 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus B	human	Rhinovirus
GCA_000862245.1	12132	ViralProj15330	Human rhinovirus A89 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_000872325.1	463676	ViralProj27901	Rhinovirus C (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus	"human,vertebrates"	Rhinovirus
GCA_002816835.1	573824	ASM281683v1	Human rhinovirus A1 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_002816855.1	44130	ASM281685v1	Human rhinovirus B3 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus B	human	Rhinovirus
GCA_002816885.1	992230	ASM281688v1	Human rhinovirus NAT001 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus C; Human rhinovirus C1	"human,vertebrates"	Rhinovirus
GCA_008766695.1	12130	ASM876669v1	Human rhinovirus A2 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008767175.1	12132	ASM876717v1	Human rhinovirus A89 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008767275.1	31708	ASM876727v1	Human rhinovirus A16 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008767415.1	463676	ASM876741v1	Rhinovirus C (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus	"human,vertebrates"	Rhinovirus
GCA_008776215.1	1604833	ASM877621v1	Human rhinovirus C54 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus C	"human,vertebrates"	Rhinovirus
GCA_008776295.1	463676	ASM877629v1	Rhinovirus C (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus	"human,vertebrates"	Rhinovirus
GCA_008776505.1	463676	ASM877650v1	Rhinovirus C (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus	"human,vertebrates"	Rhinovirus
GCA_008776535.1	463676	ASM877653v1	Rhinovirus C (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus	"human,vertebrates"	Rhinovirus
GCA_008776595.1	463676	ASM877659v1	Rhinovirus C (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus	"human,vertebrates"	Rhinovirus
GCA_008776815.1	463676	ASM877681v1	Rhinovirus C (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus	"human,vertebrates"	Rhinovirus
GCA_008776895.1	463676	ASM877689v1	Rhinovirus C (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus	"human,vertebrates"	Rhinovirus
GCA_008785685.1	147712	ASM878568v1	Rhinovirus B (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus	"human,vertebrates"	Rhinovirus
GCA_008786945.1	463676	ASM878694v1	Rhinovirus C (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus	"human,vertebrates"	Rhinovirus
GCA_008787065.1	147712	ASM878706v1	Rhinovirus B (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus	"human,vertebrates"	Rhinovirus
GCA_008787185.1	147711	ASM878718v1	Rhinovirus A (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus	"human,vertebrates"	Rhinovirus
GCA_008791725.1	463676	ASM879172v1	Rhinovirus C (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus	"human,vertebrates"	Rhinovirus
GCA_008791775.1	1033850	ASM879177v1	Human rhinovirus A103 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008791825.1	147712	ASM879182v1	Rhinovirus B (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus	"human,vertebrates"	Rhinovirus
GCA_008791945.1	1077430	ASM879194v1	Human rhinovirus C35 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus C	"human,vertebrates"	Rhinovirus
GCA_008792125.1	463676	ASM879212v1	Rhinovirus C (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus	"human,vertebrates"	Rhinovirus
GCA_008792225.1	147712	ASM879222v1	Rhinovirus B (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus	"human,vertebrates"	Rhinovirus
GCA_008792825.1	463676	ASM879282v1	Rhinovirus C (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus	"human,vertebrates"	Rhinovirus
GCA_008792925.1	147711	ASM879292v1	Rhinovirus A (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus	"human,vertebrates"	Rhinovirus
GCA_008792945.1	655428	ASM879294v1	Human rhinovirus QCE (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus C; Human rhinovirus C10	"human,vertebrates"	Rhinovirus
GCA_008792965.1	463676	ASM879296v1	Rhinovirus C (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus	"human,vertebrates"	Rhinovirus
GCA_008792985.1	463676	ASM879298v1	Rhinovirus C (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus	"human,vertebrates"	Rhinovirus
GCA_008796045.1	147677	ASM879604v1	Human rhinovirus B52 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus B	human	Rhinovirus
GCA_008796065.1	185900	ASM879606v1	Human rhinovirus B27 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus B	human	Rhinovirus
GCA_008796085.1	185891	ASM879608v1	Human rhinovirus A9 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008796105.1	185946	ASM879610v1	Human rhinovirus A100 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008796125.1	185945	ASM879612v1	Human rhinovirus B99 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus B	human	Rhinovirus
GCA_008796145.1	167330	ASM879614v1	Human rhinovirus B97 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus B	human	Rhinovirus
GCA_008796165.1	185943	ASM879616v1	Human rhinovirus A96 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008796185.1	167326	ASM879618v1	Human rhinovirus B92 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus B	human	Rhinovirus
GCA_008796205.1	167325	ASM879620v1	Human rhinovirus B91 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus B	human	Rhinovirus
GCA_008796225.1	185940	ASM879622v1	Human rhinovirus A90 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008796245.1	185938	ASM879624v1	Human rhinovirus B86 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus B	human	Rhinovirus
GCA_008796265.1	185937	ASM879626v1	Human rhinovirus A85 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008796285.1	167328	ASM879628v1	Human rhinovirus B84 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus B	human	Rhinovirus
GCA_008796305.1	185936	ASM879630v1	Human rhinovirus B83 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus B	human	Rhinovirus
GCA_008796325.1	185935	ASM879632v1	Rhinovirus A81 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008796345.1	185934	ASM879634v1	Human rhinovirus A80 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008796365.1	185933	ASM879636v1	Human rhinovirus B79 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus B	human	Rhinovirus
GCA_008796385.1	185932	ASM879638v1	Human rhinovirus A77 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008796405.1	44137	ASM879640v1	Human rhinovirus B72 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus B	human	Rhinovirus
GCA_008796425.1	185927	ASM879642v1	Human rhinovirus A71 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008796445.1	147678	ASM879644v1	Rhinovirus B69 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus B	human	Rhinovirus
GCA_008796465.1	185925	ASM879646v1	Human rhinovirus A68 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008796485.1	185924	ASM879648v1	Human rhinovirus A67 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008796505.1	185923	ASM879650v1	Human rhinovirus A66 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008796525.1	44135	ASM879652v1	Human rhinovirus A65 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008796545.1	185921	ASM879654v1	Human rhinovirus A63 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008796565.1	44134	ASM879656v1	Human rhinovirus A62 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008796585.1	185920	ASM879658v1	Human rhinovirus A61 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
GCA_008796605.1	185919	ASM879660v1	Human rhinovirus A60 (viruses)	Viruses; Riboviria; Picornavirales; Picornaviridae; Enterovirus; Rhinovirus A	"human,vertebrates"	Rhinovirus
